method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Action-coordinate selector,1710,component_dropout,0.0677326117,0.00134277344,0.998006524,0.99602098,1,0,0,0.970350404
Direct-output selector,1710,component_dropout,0.0688563355,0.00275878906,0.995905222,0.991844803,1,0,0,0.958751404
Input,1748,component_dropout,0.0540243822,0.00323486328,0.991556476,0.983254344,1,0,0,0.953395473
Validation best,1748,component_dropout,0.0540243822,0.00323486328,0.991556476,0.983254344,1,0,0,0.953395473
Action-coordinate selector,1748,component_dropout,0.0540243822,0.00323486328,0.991556476,0.983254344,1,0,0,0.953395473
Direct-output selector,1748,component_dropout,0.105453239,0.00439453125,0.988564168,0.977386935,2,0,0,0.949526778
Input,1752,component_dropout,0.123808135,0.0531616211,0.883727139,0.791676632,1,0,0,0.841603053
Validation best,1752,component_dropout,0.224104957,0.0534667969,0.883137673,0.790731008,1,1,0,0.83044316
Action-coordinate selector,1752,component_dropout,0.224104957,0.0534667969,0.883137673,0.790731008,1,1,0,0.83044316
Direct-output selector,1752,component_dropout,0.224796491,0.0541381836,0.881744531,0.788502858,1,1,0,0.824738696
Input,1855,component_dropout,0.0699068104,0.00415039062,0.993974836,0.988021843,1,0,0,0.966949953
Validation best,1855,component_dropout,0.170001669,0.00427246094,0.993798724,0.987673886,1,1,0,0.965973535
Action-coordinate selector,1855,component_dropout,0.170001669,0.00427246094,0.993798724,0.987673886,1,1,0,0.965973535
Direct-output selector,1855,component_dropout,0.174877587,0.0105834961,0.984764447,0.969986922,1,1,0,0.877481789
Input,2103,component_dropout,0.067762794,0.00152587891,0.998022621,0.996053047,1,0,0,0.972972973
Validation best,2103,component_dropout,0.067762794,0.00152587891,0.998022621,0.996053047,1,0,0,0.972972973
Action-coordinate selector,2103,component_dropout,0.067762794,0.00152587891,0.998022621,0.996053047,1,0,0,0.972972973
Direct-output selector,2103,component_dropout,0.0681931434,0.00212402344,0.99724582,0.994507117,1,0,0,0.972972973
Input,2122,component_dropout,0.06737486,0.00109863281,0.998778833,0.997560645,1,0,0,0.98336414
Validation best,2122,component_dropout,0.06737486,0.00109863281,0.998778833,0.997560645,1,0,0,0.98336414
Action-coordinate selector,2122,component_dropout,0.06737486,0.00109863281,0.998778833,0.997560645,1,0,0,0.98336414
Direct-output selector,2122,component_dropout,0.0680676644,0.00217285156,0.997583931,0.995179724,1,0,0,0.98336414
Input,2158,component_dropout,0.0752065425,0.00817871094,0.941072999,0.888704319,1,0,0,0.884476534
